order_id,order_date,region,product,customer,units,unit_price,revenue
ORD-000178,2024-10-22,Latin America,Growth,Walker-Jones,8,210.26,1682.08
ORD-000179,2024-10-05,MEA,Growth,"Williams, Johnson and Wright",8,195.28,1562.24
ORD-000180,2024-02-10,Asia Pacific,Scale,Howell and Sons,12,472.4,5668.8
ORD-000181,2024-01-27,MEA,Starter,Wells Inc,11,53.94,593.34
ORD-000182,2025-08-24,MEA,Enterprise,"Gould, Marshall and Scott",11,1643.54,18078.94
ORD-000183,2024-02-11,Latin America,Scale,Jackson-Lawson,3,494.58,1483.74
ORD-000184,2024-10-11,Latin America,Starter,"Higgins, Strickland and Martin",10,48.06,480.6
ORD-000185,2024-04-03,North America,Growth,Rodriguez-Johnson,7,189.05,1323.35
ORD-000186,2024-06-13,Latin America,Starter,Johnston-Odonnell,12,48.93,587.16
ORD-000187,2026-02-17,Asia Pacific,Growth,Sanders-Espinoza,8,174.41,1395.28
ORD-000188,2024-11-27,North America,Starter,Vargas Ltd,7,54.36,380.52
ORD-000189,2025-11-04,Europe,Scale,Garcia LLC,8,486.01,3888.08
ORD-000190,2025-06-14,North America,Growth,"Burke, Martinez and Riggs",8,206.49,1651.92
ORD-000191,2024-07-27,Latin America,Starter,Reed Group,3,55.29,165.87
ORD-000192,2025-12-16,MEA,Growth,"Wood, Hunter and Peterson",1,227.25,227.25
ORD-000193,2026-03-29,North America,Starter,Short-Garcia,3,46.22,138.66
ORD-000194,2025-07-19,North America,Growth,Reid-Poole,4,228.39,913.56
ORD-000195,2025-04-17,Latin America,Enterprise,"Hernandez, Thompson and Boyd",11,1648.36,18131.96
ORD-000196,2026-01-03,Latin America,Starter,"Nelson, Morton and Medina",12,45.67,548.04
ORD-000197,2025-04-28,Europe,Starter,Marshall-Petersen,9,43.78,394.02
ORD-000198,2025-09-05,Asia Pacific,Growth,"Adams, Christian and Rivas",3,220.73,662.19
ORD-000199,2026-03-02,MEA,Scale,Ramirez Group,7,475.03,3325.21
ORD-000200,2024-09-30,MEA,Scale,Christensen PLC,5,532.84,2664.2
ORD-000201,2025-08-16,Latin America,Enterprise,"Barnett, Rogers and Snyder",8,1663.26,13306.08
ORD-000202,2025-07-05,MEA,Growth,White-Lewis,6,202.1,1212.6
ORD-000203,2025-01-21,Europe,Growth,Peterson-Beard,6,221.07,1326.42
ORD-000204,2025-08-08,Latin America,Growth,"Beard, Peters and Black",7,171.76,1202.32
ORD-000205,2025-12-23,Europe,Enterprise,Miller Ltd,7,1447.77,10134.39
ORD-000206,2025-05-22,MEA,Enterprise,Freeman-Chang,3,1500.03,4500.09
ORD-000207,2024-12-05,Latin America,Scale,"Alvarez, Joseph and West",8,439.08,3512.64
ORD-000208,2024-01-16,Europe,Scale,Davis and Sons,7,554.53,3881.71
ORD-000209,2024-03-17,Latin America,Growth,Holt-Torres,5,189.36,946.8
ORD-000210,2025-10-27,MEA,Starter,"Wood, Tran and Cooper",6,54.18,325.08
ORD-000211,2025-01-24,Latin America,Enterprise,"Pierce, Bell and Chavez",11,1597.36,17570.96
ORD-000212,2025-07-08,Asia Pacific,Starter,King-Martinez,2,45.1,90.2
ORD-000213,2024-08-20,North America,Scale,Stewart Ltd,7,570.61,3994.27
ORD-000214,2025-03-30,North America,Starter,"Tapia, Vaughn and Lee",5,54.93,274.65
ORD-000215,2024-11-28,Latin America,Scale,"Washington, Hardy and Bray",5,477.81,2389.05
ORD-000216,2024-05-29,Europe,Starter,"Carlson, Hooper and Wall",7,49.97,349.79
ORD-000217,2024-06-23,MEA,Starter,Perez-White,10,54.45,544.5
ORD-000218,2025-11-30,Latin America,Starter,Erickson and Sons,10,43.75,437.5
ORD-000219,2025-10-15,Latin America,Starter,Williams-Brown,5,51.45,257.25
ORD-000220,2024-10-21,Asia Pacific,Scale,Terry-Martinez,3,435.21,1305.63
ORD-000221,2025-08-24,Latin America,Starter,Garcia-Smith,7,51.8,362.6
ORD-000222,2024-11-05,North America,Starter,Harrison-Alexander,7,54.19,379.33
ORD-000223,2024-08-30,Asia Pacific,Growth,Sheppard LLC,6,203.47,1220.82
ORD-000224,2024-01-23,North America,Enterprise,Wilson-Jones,11,1452.14,15973.54
ORD-000225,2025-08-02,MEA,Scale,Jones-Soto,12,569.9,6838.8
ORD-000226,2026-02-02,Europe,Growth,Hernandez PLC,5,215.46,1077.3
ORD-000227,2025-09-13,MEA,Scale,Miller-Wright,4,519.45,2077.8
ORD-000228,2024-09-13,Europe,Scale,"Duran, Obrien and Gibbs",12,539.04,6468.48
ORD-000229,2025-10-05,Asia Pacific,Starter,Rowe Group,11,51.15,562.65
ORD-000230,2026-03-18,Europe,Growth,Kerr-Evans,10,190.93,1909.3
ORD-000231,2024-04-02,Europe,Enterprise,"Branch, Torres and Oliver",6,1610.29,9661.74
ORD-000232,2024-07-24,Asia Pacific,Starter,"Choi, Garcia and Farmer",9,54.53,490.77
ORD-000233,2025-06-27,Asia Pacific,Growth,"Clark, Guerrero and Moore",5,218.73,1093.65
ORD-000234,2025-05-08,Asia Pacific,Enterprise,Arnold and Sons,5,1609.88,8049.4
ORD-000235,2024-04-27,Europe,Growth,Ortiz Ltd,2,177.55,355.1
ORD-000236,2025-11-23,MEA,Scale,"Harrison, Johnson and Roberts",7,568.95,3982.65
ORD-000237,2025-01-09,MEA,Starter,Warner-Gibson,7,41.85,292.95
ORD-000238,2024-05-06,Asia Pacific,Growth,"Hall, Baker and Moody",11,213.87,2352.57
ORD-000239,2025-08-21,North America,Growth,"Guerrero, Peck and Coleman",11,225.29,2478.19
ORD-000240,2025-11-22,MEA,Starter,"Walker, Hernandez and Baker",1,50.76,50.76
ORD-000241,2024-12-01,Latin America,Enterprise,Jones and Sons,4,1565.4,6261.6
ORD-000242,2025-12-18,North America,Starter,Larson-Holloway,7,43.37,303.59
ORD-000243,2024-02-08,Europe,Starter,Gonzales-Harrison,8,43.36,346.88
ORD-000244,2025-07-04,MEA,Starter,Lyons-Bender,8,47.1,376.8
ORD-000245,2025-03-05,Latin America,Growth,"Fernandez, Kim and George",12,178.38,2140.56
ORD-000246,2025-11-01,Asia Pacific,Starter,Navarro-Munoz,8,50.7,405.6
ORD-000247,2024-02-03,Europe,Scale,Davis Ltd,4,490.52,1962.08
ORD-000248,2025-01-06,Asia Pacific,Starter,"Matthews, Smith and Hubbard",11,47.05,517.55
ORD-000249,2024-03-03,Latin America,Growth,Johnston-Hines,4,226.95,907.8
ORD-000250,2024-04-03,North America,Scale,Ruiz Ltd,11,519.88,5718.68
ORD-000251,2024-02-21,MEA,Scale,Moon-White,4,572.18,2288.72
ORD-000252,2024-07-29,Europe,Starter,"Graham, Olsen and Costa",9,44.7,402.3
ORD-000253,2024-08-26,MEA,Starter,Bailey-Cook,3,53.24,159.72
ORD-000254,2024-01-03,MEA,Starter,"Garcia, Martin and Jenkins",3,56.17,168.51
ORD-000255,2024-09-13,North America,Scale,Roberts-Landry,2,523.11,1046.22
ORD-000256,2024-05-14,North America,Starter,"Johnson, Miller and King",4,50.31,201.24
ORD-000257,2024-06-27,MEA,Starter,Cordova Group,3,52.55,157.65
ORD-000258,2024-04-26,Asia Pacific,Scale,"Bryan, Smith and Booth",8,491.26,3930.08
ORD-000259,2025-06-09,MEA,Growth,Gutierrez-Lopez,8,199.23,1593.84
ORD-000260,2024-02-14,Latin America,Scale,Dean-Jimenez,11,502.21,5524.31
ORD-000261,2025-10-20,Latin America,Enterprise,Wolf-Harris,1,1723.21,1723.21
ORD-000262,2025-03-12,Latin America,Scale,"Anderson, Roberts and Gilmore",8,530.8,4246.4
ORD-000263,2024-03-16,North America,Scale,Martinez-Dudley,6,515.21,3091.26
ORD-000264,2024-05-09,Asia Pacific,Starter,"Lloyd, Mckinney and Collins",11,50.25,552.75
ORD-000265,2025-01-25,MEA,Enterprise,Tran Inc,9,1406.77,12660.93
ORD-000266,2025-09-11,MEA,Growth,Gay Inc,12,175.98,2111.76
ORD-000267,2026-01-08,Europe,Scale,Valentine-Holland,7,491.75,3442.25
ORD-000268,2025-02-27,North America,Starter,Jimenez Ltd,8,47.51,380.08
ORD-000269,2024-11-16,Europe,Growth,Hicks-Hill,11,184.37,2028.07
ORD-000270,2025-12-04,North America,Enterprise,Baird-Sanchez,2,1315.17,2630.34
ORD-000271,2024-04-05,Europe,Growth,"Thomas, Lee and Greene",12,213.26,2559.12
ORD-000272,2025-07-23,North America,Starter,"Suarez, Shields and Hill",9,49.91,449.19
ORD-000273,2025-02-24,Latin America,Growth,Morgan-French,11,225.34,2478.74
ORD-000274,2026-01-08,Asia Pacific,Starter,Hoover-Campbell,5,50.48,252.4
ORD-000275,2024-04-16,Latin America,Growth,Monroe-Carpenter,4,178.39,713.56
ORD-000276,2024-08-17,Asia Pacific,Scale,"Burns, Hernandez and Ryan",6,550.7,3304.2
ORD-000277,2024-04-27,Latin America,Scale,Cook-Hines,10,458.01,4580.1
ORD-000278,2025-07-28,MEA,Enterprise,Gibson-Morris,10,1550.07,15500.7
ORD-000279,2024-01-27,Asia Pacific,Growth,Pollard and Sons,11,218.67,2405.37
ORD-000280,2024-01-30,Asia Pacific,Starter,"Reyes, Chase and Jenkins",12,52.86,634.32
ORD-000281,2024-12-25,Latin America,Starter,Garner-Thornton,3,49.97,149.91
ORD-000282,2024-03-12,North America,Starter,Hughes-Alvarado,11,55.94,615.34
ORD-000283,2026-02-03,Asia Pacific,Growth,"Pollard, Simpson and Johnson",7,194.21,1359.47
ORD-000284,2024-06-10,MEA,Growth,"Sanford, Rivera and Garcia",12,188.52,2262.24
ORD-000285,2025-09-02,MEA,Starter,Garcia-Lozano,1,43.94,43.94
ORD-000286,2024-02-20,Latin America,Scale,Bowen Group,5,490.48,2452.4
ORD-000287,2025-05-12,MEA,Growth,"Booker, Jones and Harrington",7,185.46,1298.22
ORD-000288,2024-04-26,MEA,Starter,Morgan-Schwartz,2,45.81,91.62
ORD-000289,2025-05-13,Latin America,Growth,"Miller, Murphy and Craig",5,171.86,859.3
ORD-000290,2025-09-05,Europe,Starter,"James, Stewart and Higgins",4,46.08,184.32
ORD-000291,2026-02-24,North America,Starter,Brennan-Johnson,5,45.9,229.5
ORD-000292,2024-01-08,Latin America,Growth,Young Ltd,7,179.64,1257.48
ORD-000293,2025-06-29,Asia Pacific,Scale,Bright-Francis,9,507.79,4570.11
ORD-000294,2024-03-14,North America,Growth,Good-Hodges,12,171.68,2060.16
ORD-000295,2025-04-15,MEA,Enterprise,"Brennan, Wallace and Benson",6,1533.07,9198.42
ORD-000296,2025-02-18,Latin America,Scale,Williams Inc,7,467.49,3272.43
ORD-000297,2024-01-22,MEA,Enterprise,Howard-Jordan,3,1634.5,4903.5
ORD-000298,2025-04-16,North America,Scale,Schmidt PLC,6,437.34,2624.04
ORD-000299,2024-09-06,Latin America,Growth,"Sparks, Jackson and Miller",7,200.43,1403.01
ORD-000300,2024-11-13,Europe,Scale,Harvey-Allen,4,474.01,1896.04
ORD-000301,2024-03-19,Europe,Growth,"Thomas, Murray and King",2,200.83,401.66
ORD-000302,2026-03-05,Europe,Starter,Estrada-Nolan,12,55.74,668.88
ORD-000303,2024-08-29,MEA,Starter,Santana-Byrd,5,44.55,222.75
ORD-000304,2024-06-05,Latin America,Scale,Jones LLC,11,435.43,4789.73
ORD-000305,2025-04-20,MEA,Scale,"Evans, Hayden and Vaughn",10,491.35,4913.5
ORD-000306,2025-10-20,Asia Pacific,Growth,Bruce-Gonzalez,10,188.45,1884.5
ORD-000307,2024-06-03,Asia Pacific,Growth,Castaneda-Rodriguez,8,195.55,1564.4
ORD-000308,2026-03-26,North America,Starter,Armstrong-Andrews,1,46.82,46.82
ORD-000309,2024-11-13,Asia Pacific,Growth,"Phillips, Spence and Barrett",1,172.55,172.55
ORD-000310,2024-03-19,MEA,Growth,Smith-Grimes,2,205.87,411.74
ORD-000311,2025-01-28,North America,Growth,"Beltran, Lozano and Mcgee",9,226.12,2035.08
ORD-000312,2025-04-05,Asia Pacific,Enterprise,Parsons-Hall,10,1567.28,15672.8
ORD-000313,2025-09-11,Latin America,Growth,Robinson-Lee,3,226.33,678.99
